week;tot_pop;natural_deaths;rabies_death;average_age;nb_occupied_cells;age_0;age_1;age_2;age_3;age_4;age_5;tot_infected;tot_contagious
0;29816;370;0;72.65754927163667;4543;13957;7605;4403;2675;1176;0;1;0
1;30101;369;0;72.02750704655823;4535;14140;7659;4414;2695;1193;0;1;0
2;30208;415;0;71.42797951896517;4522;14166;7704;4434;2705;1199;0;1;0
3;30321;392;0;71.28977730077811;4525;14211;7739;4435;2708;1228;0;0;1
4;30249;435;0;71.08231278859667;4508;14141;7756;4436;2681;1235;0;2;0
5;29834;415;0;71.323087752229;4494;13902;7674;4409;2645;1204;0;2;0
6;29727;384;0;72.33864176570458;4490;13831;7659;4400;2645;1192;0;2;0
7;31427;356;0;72.60879779374213;4481;15610;7599;4428;2606;1184;0;0;2
8;31014;425;0;68.9563253983614;4474;15244;7577;4411;2611;1171;0;4;0
9;31038;404;0;69.95102907546553;4467;15340;7545;4401;2593;1159;0;4;0
10;30999;454;0;70.0551268637196;4468;15392;7496;4383;2592;1136;0;4;0
11;31078;388;0;70.15220018947437;4474;15536;7459;4381;2586;1116;0;0;4
12;31036;425;3;70.1626427406199;4494;15577;7418;4359;2582;1100;0;10;0
13;31043;442;0;70.41262992743675;4510;15673;7367;4338;2571;1094;0;10;0
14;31022;433;0;70.4922574322117;4517;15695;7337;4337;2561;1092;0;9;1
15;31108;387;0;70.558315652032;4529;15791;7332;4330;2558;1097;0;4;9
16;31158;470;5;70.63575229327849;4541;15824;7315;4353;2562;1104;0;28;0
17;31220;414;0;70.47098620869113;4537;15842;7328;4359;2589;1102;0;27;1
18;31296;378;0;70.39819077880811;4532;15846;7357;4360;2613;1120;0;27;3
19;31253;429;2;70.32029807225013;4528;15821;7317;4383;2623;1109;0;10;24
20;31132;425;11;70.50858292500892;4522;15611;7377;4379;2643;1122;0;63;2
21;30887;405;1;70.794669009959;4520;15306;7407;4398;2656;1120;0;62;3
22;30696;401;1;71.4198130227981;4519;15095;7425;4380;2686;1110;0;56;9
23;30375;431;4;71.93278477247942;4515;14838;7375;4372;2690;1100;0;16;50
24;30091;424;27;72.67768346477743;4507;14653;7314;4365;2658;1101;0;107;3
25;29906;419;1;73.32479525462573;4497;14559;7258;4361;2639;1089;0;103;5
26;29805;424;2;73.7893487109905;4522;14530;7238;4350;2619;1068;0;96;13
27;29950;366;9;73.98063200815494;4535;14773;7177;4347;2600;1053;0;26;84
28;30108;454;44;73.78799402417494;4541;15074;7084;4345;2568;1037;0;130;7
29;30442;433;5;73.23889450623525;4553;15491;7018;4337;2578;1018;0;127;8
30;30820;431;4;72.36518145765987;4560;15889;7029;4333;2554;1015;0;109;24
31;31282;440;12;71.38349578503689;4569;16353;7026;4338;2540;1025;0;46;94
32;31632;430;47;70.23204025320565;4579;16653;7058;4316;2570;1035;0;153;10
